Location,Period,Indicator,Gender,Tooltip
Côte d’Ivoire,2015,New HIV infections (per 1000 uninfected population),Female,1.02
Côte d’Ivoire,2010,New HIV infections (per 1000 uninfected population),Both sexes,1.41
Côte d’Ivoire,2010,New HIV infections (per 1000 uninfected population),Male,1.18
Côte d’Ivoire,2010,New HIV infections (per 1000 uninfected population),Female,1.65
Côte d’Ivoire,2005,New HIV infections (per 1000 uninfected population),Both sexes,2.26
Côte d’Ivoire,2005,New HIV infections (per 1000 uninfected population),Male,1.92
Côte d’Ivoire,2005,New HIV infections (per 1000 uninfected population),Female,2.62
Côte d’Ivoire,2000,New HIV infections (per 1000 uninfected population),Both sexes,3.7
Côte d’Ivoire,2000,New HIV infections (per 1000 uninfected population),Male,3.14
Côte d’Ivoire,2000,New HIV infections (per 1000 uninfected population),Female,4.31
Croatia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Croatia,2019,New HIV infections (per 1000 uninfected population),Male,No data
Croatia,2019,New HIV infections (per 1000 uninfected population),Female,No data
Croatia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Croatia,2015,New HIV infections (per 1000 uninfected population),Male,No data
Croatia,2015,New HIV infections (per 1000 uninfected population),Female,No data
Croatia,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Croatia,2010,New HIV infections (per 1000 uninfected population),Male,No data
Croatia,2010,New HIV infections (per 1000 uninfected population),Female,No data
Croatia,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Croatia,2005,New HIV infections (per 1000 uninfected population),Male,No data
Croatia,2005,New HIV infections (per 1000 uninfected population),Female,No data
Croatia,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.01
Croatia,2000,New HIV infections (per 1000 uninfected population),Male,No data
Croatia,2000,New HIV infections (per 1000 uninfected population),Female,No data
Cuba,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Cuba,2019,New HIV infections (per 1000 uninfected population),Male,0.24
Cuba,2019,New HIV infections (per 1000 uninfected population),Female,0.05
Cuba,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.2
Cuba,2015,New HIV infections (per 1000 uninfected population),Male,0.32
Cuba,2015,New HIV infections (per 1000 uninfected population),Female,0.07
Cuba,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.2
Cuba,2010,New HIV infections (per 1000 uninfected population),Male,0.33
Cuba,2010,New HIV infections (per 1000 uninfected population),Female,0.07
Cuba,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.13
Cuba,2005,New HIV infections (per 1000 uninfected population),Male,0.22
Cuba,2005,New HIV infections (per 1000 uninfected population),Female,0.05
Cuba,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.07
Cuba,2000,New HIV infections (per 1000 uninfected population),Male,0.12
Cuba,2000,New HIV infections (per 1000 uninfected population),Female,0.03
Cyprus,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Cyprus,2019,New HIV infections (per 1000 uninfected population),Male,No data
Cyprus,2019,New HIV infections (per 1000 uninfected population),Female,No data
Cyprus,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Cyprus,2015,New HIV infections (per 1000 uninfected population),Male,No data
Cyprus,2015,New HIV infections (per 1000 uninfected population),Female,No data
Cyprus,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Cyprus,2010,New HIV infections (per 1000 uninfected population),Male,No data
Cyprus,2010,New HIV infections (per 1000 uninfected population),Female,No data
Cyprus,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Cyprus,2005,New HIV infections (per 1000 uninfected population),Male,No data
Cyprus,2005,New HIV infections (per 1000 uninfected population),Female,No data
Cyprus,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Cyprus,2000,New HIV infections (per 1000 uninfected population),Male,No data
Cyprus,2000,New HIV infections (per 1000 uninfected population),Female,No data
Czechia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2019,New HIV infections (per 1000 uninfected population),Male,No data
Czechia,2019,New HIV infections (per 1000 uninfected population),Female,No data
Czechia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2015,New HIV infections (per 1000 uninfected population),Male,No data
Czechia,2015,New HIV infections (per 1000 uninfected population),Female,No data
Czechia,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2010,New HIV infections (per 1000 uninfected population),Male,No data
Czechia,2010,New HIV infections (per 1000 uninfected population),Female,No data
Czechia,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2005,New HIV infections (per 1000 uninfected population),Male,No data
Czechia,2005,New HIV infections (per 1000 uninfected population),Female,No data
Czechia,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2000,New HIV infections (per 1000 uninfected population),Male,No data
Czechia,2000,New HIV infections (per 1000 uninfected population),Female,No data
Democratic People's Republic of Korea,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2019,New HIV infections (per 1000 uninfected population),Male,No data
Democratic People's Republic of Korea,2019,New HIV infections (per 1000 uninfected population),Female,No data
Democratic People's Republic of Korea,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2015,New HIV infections (per 1000 uninfected population),Male,No data
Democratic People's Republic of Korea,2015,New HIV infections (per 1000 uninfected population),Female,No data
Democratic People's Republic of Korea,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2010,New HIV infections (per 1000 uninfected population),Male,No data
Democratic People's Republic of Korea,2010,New HIV infections (per 1000 uninfected population),Female,No data
Democratic People's Republic of Korea,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2005,New HIV infections (per 1000 uninfected population),Male,No data
Democratic People's Republic of Korea,2005,New HIV infections (per 1000 uninfected population),Female,No data
Democratic People's Republic of Korea,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2000,New HIV infections (per 1000 uninfected population),Male,No data
Democratic People's Republic of Korea,2000,New HIV infections (per 1000 uninfected population),Female,No data
Democratic Republic of the Congo,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.22
Democratic Republic of the Congo,2019,New HIV infections (per 1000 uninfected population),Male,0.15
Democratic Republic of the Congo,2019,New HIV infections (per 1000 uninfected population),Female,0.3
Democratic Republic of the Congo,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.32
Democratic Republic of the Congo,2015,New HIV infections (per 1000 uninfected population),Male,0.21
Democratic Republic of the Congo,2015,New HIV infections (per 1000 uninfected population),Female,0.43
Democratic Republic of the Congo,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.49
Democratic Republic of the Congo,2010,New HIV infections (per 1000 uninfected population),Male,0.33
Democratic Republic of the Congo,2010,New HIV infections (per 1000 uninfected population),Female,0.64
Democratic Republic of the Congo,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.68
Democratic Republic of the Congo,2005,New HIV infections (per 1000 uninfected population),Male,0.46
Democratic Republic of the Congo,2005,New HIV infections (per 1000 uninfected population),Female,0.9
Democratic Republic of the Congo,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.91
Democratic Republic of the Congo,2000,New HIV infections (per 1000 uninfected population),Male,0.61
Democratic Republic of the Congo,2000,New HIV infections (per 1000 uninfected population),Female,1.21
Denmark,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Denmark,2019,New HIV infections (per 1000 uninfected population),Male,No data
Denmark,2019,New HIV infections (per 1000 uninfected population),Female,No data
Denmark,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Denmark,2015,New HIV infections (per 1000 uninfected population),Male,No data
Denmark,2015,New HIV infections (per 1000 uninfected population),Female,No data
Denmark,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Denmark,2010,New HIV infections (per 1000 uninfected population),Male,No data
Denmark,2010,New HIV infections (per 1000 uninfected population),Female,No data
Denmark,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Denmark,2005,New HIV infections (per 1000 uninfected population),Male,No data
Denmark,2005,New HIV infections (per 1000 uninfected population),Female,No data
Denmark,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Denmark,2000,New HIV infections (per 1000 uninfected population),Male,No data
Denmark,2000,New HIV infections (per 1000 uninfected population),Female,No data
Djibouti,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Djibouti,2019,New HIV infections (per 1000 uninfected population),Male,0.14
Djibouti,2019,New HIV infections (per 1000 uninfected population),Female,0.14
Djibouti,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.22
Djibouti,2015,New HIV infections (per 1000 uninfected population),Male,0.22
Djibouti,2015,New HIV infections (per 1000 uninfected population),Female,0.23
Djibouti,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.44
Djibouti,2010,New HIV infections (per 1000 uninfected population),Male,0.42
Djibouti,2010,New HIV infections (per 1000 uninfected population),Female,0.45
Djibouti,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.76
Djibouti,2005,New HIV infections (per 1000 uninfected population),Male,0.73
Djibouti,2005,New HIV infections (per 1000 uninfected population),Female,0.8
Djibouti,2000,New HIV infections (per 1000 uninfected population),Both sexes,2.49
Djibouti,2000,New HIV infections (per 1000 uninfected population),Male,2.29
Djibouti,2000,New HIV infections (per 1000 uninfected population),Female,2.7
Dominican Republic,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.27
Dominican Republic,2019,New HIV infections (per 1000 uninfected population),Male,0.36
Dominican Republic,2019,New HIV infections (per 1000 uninfected population),Female,0.17
Dominican Republic,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.29
Dominican Republic,2015,New HIV infections (per 1000 uninfected population),Male,0.38
Dominican Republic,2015,New HIV infections (per 1000 uninfected population),Female,0.2
Dominican Republic,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.34
Dominican Republic,2010,New HIV infections (per 1000 uninfected population),Male,0.39
Dominican Republic,2010,New HIV infections (per 1000 uninfected population),Female,0.29
Dominican Republic,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.57
Dominican Republic,2005,New HIV infections (per 1000 uninfected population),Male,0.6
Dominican Republic,2005,New HIV infections (per 1000 uninfected population),Female,0.54
Dominican Republic,2000,New HIV infections (per 1000 uninfected population),Both sexes,1.03
Dominican Republic,2000,New HIV infections (per 1000 uninfected population),Male,1.16
Dominican Republic,2000,New HIV infections (per 1000 uninfected population),Female,0.9
Ecuador,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Ecuador,2019,New HIV infections (per 1000 uninfected population),Male,0.2
Ecuador,2019,New HIV infections (per 1000 uninfected population),Female,0.09
Ecuador,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.17
Ecuador,2015,New HIV infections (per 1000 uninfected population),Male,0.24
Ecuador,2015,New HIV infections (per 1000 uninfected population),Female,0.1
Ecuador,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.18
Ecuador,2010,New HIV infections (per 1000 uninfected population),Male,0.26
Ecuador,2010,New HIV infections (per 1000 uninfected population),Female,0.11
Ecuador,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.2
Ecuador,2005,New HIV infections (per 1000 uninfected population),Male,0.29
Ecuador,2005,New HIV infections (per 1000 uninfected population),Female,0.11
Ecuador,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.23
Ecuador,2000,New HIV infections (per 1000 uninfected population),Male,0.33
Ecuador,2000,New HIV infections (per 1000 uninfected population),Female,0.13
Egypt,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Egypt,2019,New HIV infections (per 1000 uninfected population),Male,0.07
Egypt,2019,New HIV infections (per 1000 uninfected population),Female,0.03
Egypt,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Egypt,2015,New HIV infections (per 1000 uninfected population),Male,0.04
Egypt,2015,New HIV infections (per 1000 uninfected population),Female,0.02
Egypt,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.01
Egypt,2010,New HIV infections (per 1000 uninfected population),Male,0.02
Egypt,2010,New HIV infections (per 1000 uninfected population),Female,<0.01 
Egypt,2005,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 
Egypt,2005,New HIV infections (per 1000 uninfected population),Male,<0.01 
Egypt,2005,New HIV infections (per 1000 uninfected population),Female,<0.01 
Egypt,2000,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 
Egypt,2000,New HIV infections (per 1000 uninfected population),Male,<0.01 
Egypt,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
El Salvador,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
El Salvador,2019,New HIV infections (per 1000 uninfected population),Male,0.19
El Salvador,2019,New HIV infections (per 1000 uninfected population),Female,0.09
El Salvador,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.18
El Salvador,2015,New HIV infections (per 1000 uninfected population),Male,0.26
El Salvador,2015,New HIV infections (per 1000 uninfected population),Female,0.12
El Salvador,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.29
El Salvador,2010,New HIV infections (per 1000 uninfected population),Male,0.4
El Salvador,2010,New HIV infections (per 1000 uninfected population),Female,0.18
El Salvador,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.41
El Salvador,2005,New HIV infections (per 1000 uninfected population),Male,0.57
El Salvador,2005,New HIV infections (per 1000 uninfected population),Female,0.26
El Salvador,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.44
El Salvador,2000,New HIV infections (per 1000 uninfected population),Male,0.61
El Salvador,2000,New HIV infections (per 1000 uninfected population),Female,0.28
Equatorial Guinea,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.06
Equatorial Guinea,2019,New HIV infections (per 1000 uninfected population),Male,3.77
Equatorial Guinea,2019,New HIV infections (per 1000 uninfected population),Female,4.43
Equatorial Guinea,2015,New HIV infections (per 1000 uninfected population),Both sexes,4.16
Equatorial Guinea,2015,New HIV infections (per 1000 uninfected population),Male,3.85
Equatorial Guinea,2015,New HIV infections (per 1000 uninfected population),Female,4.54
Equatorial Guinea,2010,New HIV infections (per 1000 uninfected population),Both sexes,4.17
Equatorial Guinea,2010,New HIV infections (per 1000 uninfected population),Male,3.84
Equatorial Guinea,2010,New HIV infections (per 1000 uninfected population),Female,4.57
Equatorial Guinea,2005,New HIV infections (per 1000 uninfected population),Both sexes,3.63
Equatorial Guinea,2005,New HIV infections (per 1000 uninfected population),Male,3.3
Equatorial Guinea,2005,New HIV infections (per 1000 uninfected population),Female,4
Equatorial Guinea,2000,New HIV infections (per 1000 uninfected population),Both sexes,3.25
Equatorial Guinea,2000,New HIV infections (per 1000 uninfected population),Male,2.92
Equatorial Guinea,2000,New HIV infections (per 1000 uninfected population),Female,3.61
Eritrea,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.11
Eritrea,2019,New HIV infections (per 1000 uninfected population),Male,0.09
Eritrea,2019,New HIV infections (per 1000 uninfected population),Female,0.12
Eritrea,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Eritrea,2015,New HIV infections (per 1000 uninfected population),Male,0.12
Eritrea,2015,New HIV infections (per 1000 uninfected population),Female,0.16
Eritrea,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.26
Eritrea,2010,New HIV infections (per 1000 uninfected population),Male,0.23
Eritrea,2010,New HIV infections (per 1000 uninfected population),Female,0.29
Eritrea,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.43
Eritrea,2005,New HIV infections (per 1000 uninfected population),Male,0.38
Eritrea,2005,New HIV infections (per 1000 uninfected population),Female,0.47
Eritrea,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.63
Eritrea,2000,New HIV infections (per 1000 uninfected population),Male,0.56
Eritrea,2000,New HIV infections (per 1000 uninfected population),Female,0.7
Estonia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Estonia,2019,New HIV infections (per 1000 uninfected population),Male,No data
Estonia,2019,New HIV infections (per 1000 uninfected population),Female,No data
Estonia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Estonia,2015,New HIV infections (per 1000 uninfected population),Male,No data
Estonia,2015,New HIV infections (per 1000 uninfected population),Female,No data
Estonia,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Estonia,2010,New HIV infections (per 1000 uninfected population),Male,No data
Estonia,2010,New HIV infections (per 1000 uninfected population),Female,No data
Estonia,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Estonia,2005,New HIV infections (per 1000 uninfected population),Male,No data
Estonia,2005,New HIV infections (per 1000 uninfected population),Female,No data
Estonia,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Estonia,2000,New HIV infections (per 1000 uninfected population),Male,No data
Estonia,2000,New HIV infections (per 1000 uninfected population),Female,No data
Eswatini,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.9
Eswatini,2019,New HIV infections (per 1000 uninfected population),Male,3.46
Eswatini,2019,New HIV infections (per 1000 uninfected population),Female,6.45
Eswatini,2015,New HIV infections (per 1000 uninfected population),Both sexes,11.31
Eswatini,2015,New HIV infections (per 1000 uninfected population),Male,7.98
Eswatini,2015,New HIV infections (per 1000 uninfected population),Female,14.76
Eswatini,2010,New HIV infections (per 1000 uninfected population),Both sexes,15.16
Eswatini,2010,New HIV infections (per 1000 uninfected population),Male,11.19
Eswatini,2010,New HIV infections (per 1000 uninfected population),Female,19.01
Eswatini,2005,New HIV infections (per 1000 uninfected population),Both sexes,17.24
Eswatini,2005,New HIV infections (per 1000 uninfected population),Male,13.5
Eswatini,2005,New HIV infections (per 1000 uninfected population),Female,20.83
Eswatini,2000,New HIV infections (per 1000 uninfected population),Both sexes,18.53
Eswatini,2000,New HIV infections (per 1000 uninfected population),Male,15.05
Eswatini,2000,New HIV infections (per 1000 uninfected population),Female,21.89
Ethiopia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.16
Ethiopia,2019,New HIV infections (per 1000 uninfected population),Male,0.13
Ethiopia,2019,New HIV infections (per 1000 uninfected population),Female,0.19
Ethiopia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.21
Ethiopia,2015,New HIV infections (per 1000 uninfected population),Male,0.17
Ethiopia,2015,New HIV infections (per 1000 uninfected population),Female,0.25
Ethiopia,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.37
Ethiopia,2010,New HIV infections (per 1000 uninfected population),Male,0.31
Ethiopia,2010,New HIV infections (per 1000 uninfected population),Female,0.44
Ethiopia,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.59
Ethiopia,2005,New HIV infections (per 1000 uninfected population),Male,0.5
Ethiopia,2005,New HIV infections (per 1000 uninfected population),Female,0.68
Ethiopia,2000,New HIV infections (per 1000 uninfected population),Both sexes,1.07
Ethiopia,2000,New HIV infections (per 1000 uninfected population),Male,0.91
Ethiopia,2000,New HIV infections (per 1000 uninfected population),Female,1.23
Fiji,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Fiji,2019,New HIV infections (per 1000 uninfected population),Male,0.22
Fiji,2019,New HIV infections (per 1000 uninfected population),Female,0.06
Fiji,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11
Fiji,2015,New HIV infections (per 1000 uninfected population),Male,0.15
Fiji,2015,New HIV infections (per 1000 uninfected population),Female,0.07
Fiji,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.08
Fiji,2010,New HIV infections (per 1000 uninfected population),Male,0.1
Fiji,2010,New HIV infections (per 1000 uninfected population),Female,0.05
Fiji,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Fiji,2005,New HIV infections (per 1000 uninfected population),Male,0.06
Fiji,2005,New HIV infections (per 1000 uninfected population),Female,0.03
Fiji,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Fiji,2000,New HIV infections (per 1000 uninfected population),Male,0.04
Fiji,2000,New HIV infections (per 1000 uninfected population),Female,0.02
Finland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Finland,2019,New HIV infections (per 1000 uninfected population),Male,No data
Finland,2019,New HIV infections (per 1000 uninfected population),Female,No data
Finland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Finland,2015,New HIV infections (per 1000 uninfected population),Male,No data
Finland,2015,New HIV infections (per 1000 uninfected population),Female,No data
Finland,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Finland,2010,New HIV infections (per 1000 uninfected population),Male,No data
Finland,2010,New HIV infections (per 1000 uninfected population),Female,No data
Finland,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Finland,2005,New HIV infections (per 1000 uninfected population),Male,No data
Finland,2005,New HIV infections (per 1000 uninfected population),Female,No data
Finland,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Finland,2000,New HIV infections (per 1000 uninfected population),Male,No data
Finland,2000,New HIV infections (per 1000 uninfected population),Female,No data
France,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
France,2019,New HIV infections (per 1000 uninfected population),Male,No data
France,2019,New HIV infections (per 1000 uninfected population),Female,No data
France,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1
France,2015,New HIV infections (per 1000 uninfected population),Male,No data
France,2015,New HIV infections (per 1000 uninfected population),Female,No data
France,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.08
France,2010,New HIV infections (per 1000 uninfected population),Male,No data
France,2010,New HIV infections (per 1000 uninfected population),Female,No data
France,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.12
France,2005,New HIV infections (per 1000 uninfected population),Male,No data
France,2005,New HIV infections (per 1000 uninfected population),Female,No data
France,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.11
France,2000,New HIV infections (per 1000 uninfected population),Male,No data
France,2000,New HIV infections (per 1000 uninfected population),Female,No data
Gabon,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.74
Gabon,2019,New HIV infections (per 1000 uninfected population),Male,0.53
Gabon,2019,New HIV infections (per 1000 uninfected population),Female,0.97
Gabon,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.15
Gabon,2015,New HIV infections (per 1000 uninfected population),Male,0.82
Gabon,2015,New HIV infections (per 1000 uninfected population),Female,1.5
Gabon,2010,New HIV infections (per 1000 uninfected population),Both sexes,1.72
Gabon,2010,New HIV infections (per 1000 uninfected population),Male,1.24
Gabon,2010,New HIV infections (per 1000 uninfected population),Female,2.22
Gabon,2005,New HIV infections (per 1000 uninfected population),Both sexes,2.23
Gabon,2005,New HIV infections (per 1000 uninfected population),Male,1.63
Gabon,2005,New HIV infections (per 1000 uninfected population),Female,2.85
Gabon,2000,New HIV infections (per 1000 uninfected population),Both sexes,3.14
Gabon,2000,New HIV infections (per 1000 uninfected population),Male,2.23
Gabon,2000,New HIV infections (per 1000 uninfected population),Female,4.04
Gambia,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.06
Gambia,2019,New HIV infections (per 1000 uninfected population),Male,0.95
Gambia,2019,New HIV infections (per 1000 uninfected population),Female,1.17
Gambia,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.1
Gambia,2015,New HIV infections (per 1000 uninfected population),Male,0.98
Gambia,2015,New HIV infections (per 1000 uninfected population),Female,1.22
Gambia,2010,New HIV infections (per 1000 uninfected population),Both sexes,1.17
Gambia,2010,New HIV infections (per 1000 uninfected population),Male,1.04
Gambia,2010,New HIV infections (per 1000 uninfected population),Female,1.3
Gambia,2005,New HIV infections (per 1000 uninfected population),Both sexes,1.33
Gambia,2005,New HIV infections (per 1000 uninfected population),Male,1.19
Gambia,2005,New HIV infections (per 1000 uninfected population),Female,1.46
Gambia,2000,New HIV infections (per 1000 uninfected population),Both sexes,1.57
Gambia,2000,New HIV infections (per 1000 uninfected population),Male,1.4
Gambia,2000,New HIV infections (per 1000 uninfected population),Female,1.74
Georgia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Georgia,2019,New HIV infections (per 1000 uninfected population),Male,No data
Georgia,2019,New HIV infections (per 1000 uninfected population),Female,No data
Georgia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Georgia,2015,New HIV infections (per 1000 uninfected population),Male,No data
Georgia,2015,New HIV infections (per 1000 uninfected population),Female,No data
Georgia,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Georgia,2010,New HIV infections (per 1000 uninfected population),Male,No data
Georgia,2010,New HIV infections (per 1000 uninfected population),Female,No data
Georgia,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Georgia,2005,New HIV infections (per 1000 uninfected population),Male,No data
Georgia,2005,New HIV infections (per 1000 uninfected population),Female,No data
Georgia,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Georgia,2000,New HIV infections (per 1000 uninfected population),Male,No data
Georgia,2000,New HIV infections (per 1000 uninfected population),Female,No data
Germany,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2019,New HIV infections (per 1000 uninfected population),Male,No data
Germany,2019,New HIV infections (per 1000 uninfected population),Female,No data
Germany,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2015,New HIV infections (per 1000 uninfected population),Male,No data
Germany,2015,New HIV infections (per 1000 uninfected population),Female,No data
Germany,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2010,New HIV infections (per 1000 uninfected population),Male,No data
Germany,2010,New HIV infections (per 1000 uninfected population),Female,No data
Germany,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2005,New HIV infections (per 1000 uninfected population),Male,No data
Germany,2005,New HIV infections (per 1000 uninfected population),Female,No data
Germany,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2000,New HIV infections (per 1000 uninfected population),Male,No data
Germany,2000,New HIV infections (per 1000 uninfected population),Female,No data
Ghana,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.7
Ghana,2019,New HIV infections (per 1000 uninfected population),Male,0.55
Ghana,2019,New HIV infections (per 1000 uninfected population),Female,0.86
Ghana,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.8
Ghana,2015,New HIV infections (per 1000 uninfected population),Male,0.64
Ghana,2015,New HIV infections (per 1000 uninfected population),Female,0.97
Ghana,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.99
Ghana,2010,New HIV infections (per 1000 uninfected population),Male,0.79
Ghana,2010,New HIV infections (per 1000 uninfected population),Female,1.21
Ghana,2005,New HIV infections (per 1000 uninfected population),Both sexes,1.13
Ghana,2005,New HIV infections (per 1000 uninfected population),Male,0.92
Ghana,2005,New HIV infections (per 1000 uninfected population),Female,1.35
Ghana,2000,New HIV infections (per 1000 uninfected population),Both sexes,1.47
Ghana,2000,New HIV infections (per 1000 uninfected population),Male,1.19
Ghana,2000,New HIV infections (per 1000 uninfected population),Female,1.76
Greece,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Greece,2019,New HIV infections (per 1000 uninfected population),Male,No data
Greece,2019,New HIV infections (per 1000 uninfected population),Female,No data
Greece,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Greece,2015,New HIV infections (per 1000 uninfected population),Male,No data
Greece,2015,New HIV infections (per 1000 uninfected population),Female,No data
Greece,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Greece,2010,New HIV infections (per 1000 uninfected population),Male,No data
Greece,2010,New HIV infections (per 1000 uninfected population),Female,No data
Greece,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Greece,2005,New HIV infections (per 1000 uninfected population),Male,No data
Greece,2005,New HIV infections (per 1000 uninfected population),Female,No data
Greece,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Greece,2000,New HIV infections (per 1000 uninfected population),Male,No data
Greece,2000,New HIV infections (per 1000 uninfected population),Female,No data
Guatemala,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.07
